,Line_Lyrics
10254,you moonlight youre my starlight 
10255,im with you alright come on dance with me
10256,im levitating
10257,cigarettes and loneliness
10258,i lost my way havent found it yet
10259,an hour late still undressed
10260,i feel used im confused my lifes such a mess
10261,who do i turn to when im in need 
10262,who is the person thats there for me 
10263,oh daddy
10264,you taught me a lot of things
10265,oh oh daddy
10266,but you cant get me out of this
10267,oh daddy
10268,some things i gotta do alone
10269,oh oh daddy
10270,how do i do this without you 
10271,my drink is warm but im penniless
10272,it doesnt show in the way im dressed
10273,im nearing drunk and i lost my phone
10274,had enough of this club and i cant go home
10275,who do i turn to when im in need 
10276,who is the person thats there for me 
10277,oh daddy
10278,you taught me a lot of things
10279,oh oh daddy
10280,but you cant get me out of this
10281,oh daddy
10282,some things i gotta do alone
10283,oh oh daddy
10284,how do i do this without you 
10285,my daddy said my daddy said my daddy said
10286,my daddy said my daddy said my daddy said
10287,my daddy said my daddy said my daddy said
10288,my daddy said my daddy said
10289,oh daddy
10290,you taught me a lot of things
10291,oh oh daddy
10292,but you cant get me out of this
10293,oh daddy
10294,some things i gotta do alone
10295,oh oh daddy
10296,how do i do this without you 
10297,oh daddy 
10298,you taught me a lot of things
10299,oh oh daddy
10300,but you cant get me out of this
10301,oh daddy 
10302,some things i gotta do alone
10303,oh daddy
10304,how do i do this without you 
10305,you call me all friendly
10306,tellin me how much you miss me
10307,thats funny i guess youve heard my songs
10308,well im too busy for your business
10309,go find a girl who wants to listen
10310,cause if you think i was born yesterday you have got me wrong
10311,so i cut you off
10312,i dont need your love
10313,cause i already cried enough
10314,ive been done
10315,ive been movin on since we said goodbye
10316,i cut you off
10317,i dont need your love
10318,so you can try all you want
10319,your time is up ill tell you why
10320,you say youre sorry but its too late now
10321,so save it get gone shut up
10322,cause if you think i care about you now
10323,well boy i dont give a fuck
10324,i remember that weekend
10325,when my best friend caught you creepin
10326,you blamed it all on the alcohol
10327,so i made my decision
10328,cause you made your bed sleep in it
10329,play the victim and switch your position
10330,im through im done
10331,so i cut you off
10332,i dont need your love
10333,cause i already cried enough
10334,ive been done
10335,ive been movin on since we said goodbye
10336,i cut you off
10337,i dont need your love
10338,so you can try all you want
10339,your time is up ill tell you why
10340,you say youre sorry but its too late now
10341,so save it get gone shut up
10342,cause if you think i care about you now
10343,well boy i dont give a fuck
10344,about you
10345,cause if you think i care about you now
10346,well boy i dont give a fuck
10347,you say youre sorry but its too late now
10348,so save it get gone shut up
10349,cause if you think i care about you now
10350,well boy i dont give a fuck
10351,about you
10352,about you
10353,common love isnt for us
10354,we created something phenomenal
10355,dont you agree 
10356,dont you agree 
10357,you got me feeling diamond rich
10358,nothing on this planet compares to it
10359,dont you agree 
10360,dont you agree 
10361,who needs to go to sleep 
10362,all night ill riot with you
10363,i know you got my back and you know i got you
10364,so come on come on come on 
10365,lets get physical
10366,lights out follow the noise
10367,baby keep on dancing like you aint got a choice
10368,so come on come on come on
10369,lets get physical
10370,adrenaline keeps on rushing in
10371,love the simulation were dreaming in
10372,dont you agree 
10373,dont you agree 
10374,i dont wanna live another life
10375,cause this ones pretty nicе
10376,living it up
10377,who needs to go to sleep 
10378,all night ill riot with you
10379,i know you got my back and you know i got you
10380,so come on come on come on 
10381,lets get physical
10382,lights out follow the noise
10383,baby keep on dancing like you aint got a choice
10384,so come on come on come on
10385,lets get physical
10386,hold on just a little tighter
10387,come on hold on tell me if youre ready
10388,come on
10389,baby keep on dancing
10390,lets get physical
10391,hold on just a little tighter
10392,come on hold on tell me if youre ready
10393,come on 
10394,baby keep on dancing
10395,lets get physical
10396,all night ill riot with you
10397,i know you got my back and you know i got you
10398,so come on come on come on
10399,lets get physical
10400,lights out follow the noise
10401,baby keep on dancing like you aint got a choice
10402,so come on come on come on 
10403,lets get physical 
10404,lets get physical 
10405,physical 
10406,lets get physical 
10407,come on phy phy phy physical
10408,lets get physical 
10409,physical 
10410,lets get physical 
10411,come on phy phy phy physical
10412,one one one one one 
10413,talkin in my sleep at night makin myself crazy
10414,wrote it down and read it out hopin it would save me
10415,my love he makes me feel like nobody else nobody else
10416,but my love he doesnt love me so i tell myself i tell myself
10417,one dont pick up the phone
10418,you know hes only callin cause hes drunk and alone
10419,two dont let him in
10420,youll have to kick him out again
10421,three dont be his friend
10422,you know youre gonna wake up in his bed in the morning
10423,and if youre under him you aint gettin over him
10424,i got new rules i count em
10425,i got new rules i count em
10426,i keep pushin forwards but he keeps pullin me backwards
10427,now im standin back from it i finally see the pattern
10428,my love he makes me feel like nobody else nobody else
10429,but my love he doesnt love me so i tell myself i tell myself
10430,one dont pick up the phone
10431,you know hes only callin cause hes drunk and alone
10432,two dont let him in
10433,youll have to kick him out again
10434,three dont be his friend
10435,you know youre gonna wake up in his bed in the morning
10436,and if youre under him you aint gettin over him
10437,i got new rules i count em
10438,i got new rules i count em
10439,practice makes perfect
10440,im still tryna learn it by heart 
10441,eat sleep and breathe it
10442,rehearse and repeat it cause i 
10443,one dont pick up the phone
10444,you know hes only callin cause hes drunk and alone
10445,two dont let him in
10446,youll have to kick him out again
10447,three dont be his friend
10448,you know youre gonna wake up in his bed in the morning
10449,and if youre under him you aint gettin over him
10450,i got new rules i count em
10451,i got new rules i count em
10452,i got new rules i count em
10453,i gotta tell them to myself
10454,i got new rules i count em
10455,i gotta tell them to myself
10456,one one one one one 
10457,one one one one one 
10458,one one one one one 
10459,one one one one one 
10460,talkin in my sleep at night makin myself crazy
10461,wrote it down and read it out hopin it would save me
10462,my love he makes me feel like nobody else nobody else
10463,but my love he doesnt love me so i tell myself i tell myself
10464,one dont pick up the phone
10465,you know hes only callin cause hes drunk and alone
10466,two dont let him in
10467,youll have to kick him out again
10468,three dont be his friend
10469,you know youre gonna wake up in his bed in the morning
10470,and if youre under him you aint gettin over him
10471,i got new rules i count em
10472,i got new rules i count em
10473,i gotta tell them to myself
10474,i got new rules i count em
10475,i gotta tell them to myself
10476,i got new rules i count em
10477,i gotta tell them to myself
10478,i got new rules i count em
10479,i gotta tell them to myself
10480,i keep pushin forwards but he keeps pullin me backwards
10481,now im standin back from it i finally see the pattern
10482,but my love he doesnt love me so i tell myself i tell myself
10483,i do i do i do
10484,one dont pick up the phone
10485,you know hes only callin cause hes drunk and alone
10486,two dont let him in
10487,youll have to kick him out again
10488,three dont be his friend
10489,you know youre gonna wake up in his bed in the morning
10490,and if youre under him you aint gettin over him
10491,one dont pick up the phone
10492,you know hes only callin cause hes drunk and alone
10493,two dont let him in
10494,youll have to kick him out again
10495,three dont be his friend
10496,you know youre gonna wake up in his bed in the morning
10497,and if youre under him you aint gettin over him
10498,i got new rules i count em
10499,i got new rules i count em
10500,i gotta tell them to myself
10501,i got new rules i count em
10502,i gotta tell them to myself
10503,i got new rules i count em
10504,i gotta tell them to myself
10505,i got new rules i count em
10506,i got new rules i count em
10507,i gotta tell them to myself
10508,i got new rules i count em
10509,i gotta tell them to myself
10510,bout me now bout me
10511,woo 
10512,if you dont wanna see me
10513,if you dont wanna see me
10514,so if you dont wanna see me dancing with somebody
10515,if you wanna believe that anything could stop me
10516,dont show up dont come out
10517,dont start caring about me now
10518,walk away you know how
10519,dont start caring about me now 
10520,dancing with
10521,dancing with
10522,dancing with s 
10523,dancing with
10524,dancing with 
10525,so if you dont wanna see me dancing with somebody
10526,if you wanna believe that anything could stop me
10527,if you dont wanna see me dancing with somebody
10528,if you wanna believe that anything could stop me
10529,dont show up dont come out
10530,dont start caring about me now
10531,walk away you know how
10532,dont start caring about me now
10533,dont show up dont come out 
10534,dont start caring about me now 
10535,walk away you know how 
10536,dont start caring about me now 
10537,if you dont wanna see me dancing with somebody
10538,if you wanna believe that anything could stop me
10539,dont show up dont come out
10540,dont start caring about me now
10541,walk away you know how
10542,dont start caring about me now
10543,we are runaways so we misbehave
10544,and your mama warned you to stay away
10545,i dont wanna leave your humanity
10546,but we were fallin in water and then we found the sea
10547,theres just two of us and its true of me
10548,and the lost by the society
10549,had to sacrifice had to roll the dice
10550,had to make our way through hell to get to paradise
10551,oh im not afraid of standing out
10552,not with us or against us no no no
10553,were the wicked and the wild 
10554,every night we come alive 
10555,were the wicked and the wild 
10556,dance around the fire were fueled by desire tonight
10557,were the wicked and the wild 
10558,we are the children of the sky 
10559,were the wicked and the wild 
10560,dance around the fire were fueled by desire tonight
10561,fueled by desire tonight 
10562,were the wicked and the wild wild 
10563,fueled by desire tonight
10564,were the wicked and the wild wild 
10565,fueled by desire tonight
10566,its a ritual they call us criminals
10567,even back in school individual
10568,you dont wanna see our reality
10569,cause the only thing you see in us is enemy
10570,oh im not afraid of standing out
10571,not with us or against us no no no
10572,were the wicked and the wild 
10573,every night we come alive 
10574,were the wicked and the wild 
10575,dance around the fire were fueled by desire tonight
10576,were the wicked and the wild 
10577,we are the children of the sky 
10578,were the wicked and the wild 
10579,dance around the fire were fueled by desire tonight
10580,fueled by desire
10581,were the wicked and the wild wild 
10582,were the wicked and the wild wild 
10583,dance around the fire were fueled by desire tonight
10584,dance around the fire were fueled by desire tonight
10585,dance around the fire were fueled by desire tonight
10586,were the wicked and the wild 
10587,every night we come alive 
10588,were the wicked and the wild 
10589,dance around the fire were fueled by desire tonight
10590,were the wicked and the wild 
10591,we are the children of the sky 
10592,were the wicked and the wild 
10593,dance around the fire were fueled by desire tonight
10594,flickin my hair
10595,i dont care
10596,cause im making bank
10597,made it all on my own
10598,i dont give a damn no
10599,i dont give a damn no
10600,i need you to just want me
10601,for who i am
10602,tell me now if you think
10603,you could be that man
10604,you you
10605,come on baby wont you tell me what youre waiting for 
10606,give me something just so l know what im fighting for
10607,come on baby wont you tell me what youre waiting for 
10608,what you waiting for 
10609,cause i just want you to love me
10610,just want you to love me
10611,just tell me you want me
10612,oh you
10613,wont you tell me you love me 
10614,wont you tell me you love me 
10615,wont you tell me you want me 
10616,just myself
10617,never had it any other way
10618,now you make my heart wanna runaway
10619,true oh its true
10620,come on baby wont you tell me what you are waiting for 
10621,give me something just so i know what lm fighting for
10622,come on baby wont you tell me what you are fighting for 
10623,what you waiting for 
10624,cause i just want you to love me
10625,just want you to love me
10626,just tell me you want me
10627,oh you
10628,wont you tell me you love me 
10629,wont you tell me you love me 
10630,wont you tell me you want me 
10631,i could get used to you
10632,i could get used to you
10633,i could get used to you
10634,i could get used to you
10635,i could get used to you
10636,i could get used to you
10637,let me take the night i love real easy
10638,and i know that youll still wanna see me
10639,on the sunday morning music real loud
10640,let me love you while the moon is still out
10641,something in you
10642,lit up heaven in me
10643,the feeling wont let me sleep
10644,cause im lost in
10645,the way you move the way you feel
10646,one kiss is all it takes
10647,fallin in love with me
10648,possibilities
10649,i look like all you need
10650,one kiss is all it takes
10651,fallin in love with me 
10652,possibilities
10653,i look like all you need
10654,one
10655,i just wanna feel your skin on mine
10656,feel your eyes do the exploring
10657,passion in the message when you smile
10658,take my time 
10659,something in you
10660,lit up heaven in me
10661,the feeling wont let me sleep
10662,cause im lost in
10663,the way you move the way you feel
10664,one kiss is all it takes
10665,fallin in love with me
10666,possibilities
10667,i look like all you need
10668,one kiss is all it takes
10669,fallin in love with me 
10670,possibilities
10671,i look like all you need
10672,one
10673,one
10674,one
10675,something in you 
10676,lit up heaven in me 
10677,the feeling wont let me sleep 
10678,cause im lost in
10679,the way you move the way you feel
10680,one kiss is all it takes 
10681,fallin in love with me 
10682,possibilities
10683,i look like all you need
10684,one kiss is all it takes
10685,fallin in love with me 
10686,possibilities
10687,i look like all you need
10688,wait a minute uh
10689,you came to me without warning
10690,and i was unprepared
10691,losing all my intuition tryna act like i don t care
10692,i m so lost in all this madness
10693,so im throwing up a flare
10694,but you know baby i m a problem
10695,tryna act like im not scared
10696,caught me in ways that i cant explain
10697,you got me questioning all my faith
10698,i m so confused
10699,thought i could handle this tidal wave
10700,hit me so hard i got slipped away into you
10701,act of god don t know how it started
10702,no bad flaws at all but i can t control it
10703,i could try to run away but i know i won t be safe
10704, cause i know there is no cheating my fate
10705,act of god cause i can t control it
10706,wait a minute uh
10707,i m lifted my god
10708,and the ways we move
10709,like the thing on the hood of my car 
10710,got me lifted 
10711,act of god 
10712,lay my hands on me ooh
10713,set my soul on fire 
10714,could this be a revelation 
10715,tell me is this what i need 
10716, cause all this divine intervention
10717,i m starting to believe
10718,is this all an accident or is this by design 
10719,i know i didn t ask for it
10720,but now i need it to be mine 
10721,caught me in ways that i can t explain
10722,you got me questioning all my faith
10723,i m so confused 
10724,thought i could handle the tidal wave
10725,hit me so hard i got slipped away into you
10726,act of god don t know how it started
10727,no bad flaws at all but i can t control it
10728,i could try to run away but i know i won t be safe
10729, cause i know there is no cheating my fate
10730,act of god cause i can t control it
10731,wait a minute uh
10732,i m scared of the fall
10733,scared of losing it all losing my way
10734,it s my way or nothing
10735,but you give me something i just can t explain
10736,but then i got lost lost in you babe
10737,got lost in your ways and nothing can save me
10738,nothing can save me
10739,act of god don t know how it started
10740,no bad flaws at all but i can t control it
10741,i could try to run away but i know i won t be safe
10742, cause i know there is no cheating my fate
10743,act of god cause i can t control it
10744,wait a minute uh
10745,i m lifted my god
10746,and the ways we move
10747,like the thing on the hood of my car 
10748,got me lifted 
10749,act of god 
10750,lay my hands on me ooh
10751,set my soul on fire
10752,look at us lookin out out the world through glass
10753,while the hands on the clock spin around too fast
10754,gotta say ive had enough
10755,time to live at last
10756,eh eh eh eh
10757,lose yourself for a night
10758,make your own mistakes
10759,speak the words on your mind
10760,that you never say
10761,whats a day without a risk 
10762,do it differently
10763,if youre waiting for the right time baby
10764,youll be waiting for a lifetime for too long
10765,got a feeling nows the right time baby
10766,oh i want it all 
10767,im talking bout everything ive ever dreamed of
10768,oh i want it all 
10769,i aint worried bout anybody else because
10770,i want it all
10771, all
10772, all
10773,oh i want it all 
10774,finally i can see what my heart needs now
10775,hold my hand dance with me we can paint this town
10776,what are we waiting for 
10777,time to live out loud 
10778,if youre waiting for the right time baby
10779,youll be waiting for a lifetime for too long
10780,got a feeling nows the right time baby
10781,oh i want it all 
10782,im talking bout everything ive ever dreamed of
10783,oh i want it all 
10784,i aint worried bout anybody else because
10785,i want it all
10786, all
10787, all
10788,oh i want it all 
10789,i dont wanna be that i dont wanna be that
10790,favorite drunken call
10791,oh say you will be mine
10792,say you will be mine
10793,oh i want it all 
10794,im talking bout everything ive ever dreamed of
10795,oh i want it all 
10796,i aint worried bout anybody else because
10797,i want it all
10798, all
10799, all
10800,oh i want it all
10801,boys will be boys but girls will be women
10802,boys will be boys but girls will be women
10803,boys will be boys but girls will be women 
10804,boys will be boys but girls will be women
10805,boys will be boys but girls will be women
10806,boys will be boys but girls will be women
10807,boys will be boys but girls will be women
10808,its second nature to walk home before the sun goes down
10809,and put your keys between your knuckles when theres boys around
10810,isnt it funny how we laugh it off to hide our fear
10811,when theres nothing funny here 
10812,sick intuition that they taught us so we wont freak out
10813,we hide our figures doing anything to shut their mouths
10814,we smile away to ease the tension so it dont go south
10815,but theres nothing funny now 
10816,when will we stop saying things 
10817,cause theyre all listening
10818,no the kids aint alright
10819,oh and they do what they see
10820,cause its all on tv
10821,oh the kids aint alright
10822,boys will be boys will be 
10823,boys will be boys will be boys 
10824,but girls will be women
10825,boys will be boys will be 
10826,boys will be boys will be boys 
10827,but girls will be women 
10828,boys will be boys will be 
10829,boys will be boys will be boys 
10830,but girls will be women
10831,boys will be boys will be 
10832,boys will be boys will be boys 
10833,but girls will be women
10834,but girls will be women
10835,but girls will be women
10836,boys will be boys but girls will be women
10837,boys will be boys but girls will be women
10838,boys will be boys but girls will be women
10839,boys will be boys but girls will be women 
10840,boys will be boys but girls will be women
10841,boys will be boys but girls will be women
10842,boys will be boys but girls will be women
10843,boys will be boys but girls will be women
10844,i never thought that i would find a way out
10845,i never thought id hear my heart beating loud
10846,i cant believe theres something left in my chest anymore
10847,but goddamn you got me in love again
10848,touch me take me to heaven wont you 
10849,show me youre looking so good on me
10850,never have i ever met somebody like you
10851,used to be afraid of love and what it might do
10852,i never knew i had it in me to dance anymore
10853,but goddamn you got me in love again
10854,you got me in love again
10855,you got me in love again
10856,you got me in love again
10857,again
10858,i used to think that i was made out of stone
10859,i used to spend so many nights on my own
10860,i never knew i had it in me to dance anymore
10861,but goddamn you got me in love again
10862,touch me take me to heaven wont you 
10863,show me youre looking so good on me
10864,never have i ever met somebody like you
10865,used to be afraid of love and what it might do
10866,i never knew i had it in me to dance anymore
10867,but goddamn you got me in love again
10868,you got me in love again
10869,you got me in love again
10870,you got me in love again
10871,again
10872,i cant believe i cant believe
10873,i finally found the one
10874,ill sink my teeth in disbelief
10875,that youre the human i want
10876,i cant believe theres something left
10877,inside my chest anymore
10878,but goddamn you got me in love again
10879,la la la la la la
10880,la la la la la la
10881,i never thought that i would find a way out
10882,i never thought id hear my heart beating loud
10883,i cant believe theres something left in my chest anymore
10884,but goddamn you got me in love again
10885,la la la la la la
10886,la la la la la la 
10887,i cant believe i cant believe
10888,i finally found the one
10889,ill sink my teeth in disbelief
10890,that youre the human i want
10891,i cant believe theres something left
10892,inside my chest anymore
10893,but goddamn you got me in love again
10894,you got me in love again 
10895,you got me in love again 
10896,you got me in love again 
10897,again
10898,check one two
10899,what it is whats happening 
10900,come on say something here you go put your 
10901,dont just grab the mic like that
10902,you dont have to grab the mic
10903,come on over here with your 
10904,dont leave it like that
10905,come on say something
10906, for sure
10907, i like
10908,falling
10909, for sure
10910, i like
10911,falling
10912, for sure
10913, i like
10914,falling
10915, for sure
10916, i like
10917,falling
10918,ive always been the one to say the first goodbye
10919,had to love and lose a hundred million times
10920,i wouldve yeah
10921,i wouldve stayed at home cause i
10922,i wouldve yeah
10923,i wouldve oh no
10924,i wouldve yeah
10925,i wouldve stayed at home cause i
10926,i wouldve yeah
10927,i wouldve oh no
10928,i hope im not the only one that feels it all
10929,are you falling 
10930, for sure
10931, i like
10932,falling
10933,centre of attention
10934,i wouldve yeah
10935,i wouldve stayed at home cause i
10936,i wouldve yeah
10937,i wouldve oh no
10938,i wouldve yeah
10939,i wouldve stayed at home cause i
10940,i wouldve yeah
10941,i wouldve oh no
10942,ive always been the one to say the first goodbye
10943,had to love and lose a hundred million times
10944,had to get it wrong to know just what i like
10945,now im falling
10946,you say my name like i have never heard before
10947,im indecisive but this time i know for sure
10948,i hope im not the only one that feels it all
10949,are you falling 
10950,i wouldve yeah
10951,i wouldve stayed at home cause i
10952,i wouldve yeah
10953,i wouldve
10954,i wouldve yeah
10955,i wouldve stayed at home cause i
10956,i wouldve oh no
10957,baby
10958, oh no
10959, for sure
10960, i like
10961,falling
10962,ive always been the one to say the first goodbye
10963,had to love and lose a hundred million times
10964,had to get it wrong to know just what i like
10965,i wouldve yeah
10966,i wouldve stayed at home cause i
10967,you say my name like i have never heard before
10968,im indecisive but this time i know for sure
10969,i hope im not the only one that feels
10970,before for sure
10971,before for sure
10972,before for sure
10973,before
10974,before for sure
10975,before
10976,before for sure
10977,before 
10978,before for sure
10979,before 
10980,i wouldve yeah
10981,i wouldve stayed at home cause i
10982,i wouldve yeah
10983,i wouldve oh no
10984,i wouldve yeah
10985,i wouldve stayed at home cause i
10986,i wouldve yeah
10987,i wouldve oh no
10988,i wouldve yeah
10989,i wouldve stayed at home cause i
10990, i wouldve yeah
10991, i wouldve oh no
10992,i wonder when you go if i stay on your mind
10993,two can play that game but you win me every time
10994,everyone before you was a waste of time
10995,yeah you got me
10996,i wouldve stayed at home cause i
10997,until next time
10998,this is dua lipa thanks for tuning in
10999,youve been listening in to club future nostalgia mwah
11000,club welcome to the club
11001,all the girls stomp your feet like this
11002,all the girls stomp your feet like this
11003,all the girls stomp your feet like this
11004,all the girls stomp your feet like this
11005,few times ive been around that track
11006,so its not just gonna happen like that
11007,cause i aint no hollaback girl
11008,i aint no hollaback girl
11009,few times ive been around that track
11010,so its not just gonna happen like that
11011,cause i aint no hollaback girl
11012,i aint no hollaback girl
11013,breathe you in till i hallucinate
11014,ima love you like a fool
11015,breathe you in till i hallucinate
11016,breathe you in till i hallucinate
11017,ima love you like a fool
11018,breathe you in till i hallucinate
11019,breathe you in till i hallucinate
11020,ima love you like a fool
11021,breathе you in till i hallucinate
11022,breathe you in till i hallucinatе
11023,ima love you like a fool
11024,breathe you in till i hallucinate
11025,oh how you shine
11026,breathe you in till i hallucinate
11027,one hand on my shoulder
11028,gets a little bit closer
11029,mans all makes a move yeah 
11030,skip through all the small talk
11031,you wanna see me with the lights off
11032,says lets go to your room
11033,yeah 
11034,i know that youre impatient
11035,your imaginations wanderin and runnin wild
11036,i can hear that your heart is racing
11037,im sorry to say im goin home alone tonight yeah 
11038,dont need nobody to put their hands on my body
11039,cause i can be my somebody
11040,you know i keep me satisfied
11041,hear me breathing
11042,i i dont want it i need it
11043,and now that im getting heated
11044,you know i keep me satisfied
11045,i dont wanna wait im ready to go
11046,ill get me out of these clothes
11047,you know i keep me satisfied
11048,i dont wanna wait im ready to go
11049,ill get me out of these clothes
11050,you know i keep me satisfied
11051,im ready to go home
11052,just me with the lights low
11053,i dont need a lover 
11054,i tell you im leavin but you dont believe it
11055,you come on a little stronger
11056,i know that youre impatient
11057,your imaginations wanderin and runnin wild
11058,i can hear that your heart is racing
11059,im sorry to say im goin home alone tonight yeah 
11060,dont need nobody to put their hands on my body
11061,cause i can be my somebody
11062,you know i keep me satisfied
11063,hear me breathing
11064,i i dont want it i need it
11065,and now that im getting heated
11066,you know i keep me satisfied
11067,i dont wanna wait im ready to go
11068,ill get me out of these clothes
11069,you know i keep me satisfied
11070,i dont wanna wait im ready to go
11071,ill get me out of these clothes
11072,you know i keep me satisfied
11073,la la la la la la la
11074,la la la la la la
11075,la la la la la la
11076,la la la la la la la la
11077,hey hey yeah
11078,dont need nobody to put their hands on my body
11079,cause i can be my somebody
11080,you know i keep me satisfied
11081,hear me breathing
11082,i i dont want it i need it
11083,and now that im getting heated
11084,you know i keep me satisfied
11085,i dont wanna wait im ready to go
11086,ill get me out of these clothes
11087,you know i keep me satisfied
11088,i dont wanna wait im ready to go
11089,ill get me out of these clothes
11090,you know i keep me satisfied
11091,dont need nobody to put their hands on my body 
11092,cause i can be my somebody
11093,you know i keep me satisfied
11094,hear me breathing
11095,i dont want it i need it
11096,and now that im getting heated
11097,you know i keep me satisfied
11098,keep me satisfied 
11099,keep me satisfied
11100,did a full 180 crazy
11101,thinking bout the way i was
11102,did the heartbreak change me maybe
11103,but look at where i ended up
11104,im all good already
11105,so moved on its scary
11106,im not where you left me at all so
11107,if you dont wanna see me dancing with somebody
11108,dont show up dont come out
11109,dont show up dont come out
11110,dont show up dont come out
11111,dont start caring about me caring about me
11112,caring about me caring about me
11113,caring about me now
11114,dont start caring about me caring about me
11115,caring about me caring about me
11116,caring about me caring about me
11117,caring about me now
11118,arent you the guy who tried to
11119,hurt me with the word goodbye 
11120,though it took some time to survivе you
11121,im better on the othеr side
11122,im all good already
11123,so moved on its scary
11124,im not where you left me at all so
11125,if you dont wanna see me dancing with somebody
11126,dont show up dont come out
11127,dont start caring about me now
11128,walk away you know how
11129,dont start caring about me now
11130,dont start caring about me caring about me
11131,caring about me caring about me
11132,caring about me caring about me
11133,caring about me now
11134,dont start caring about me caring about me
11135,caring about me caring about me
11136,caring about me caring about me
11137,caring about me now
11138,dont show up dont come out
11139,dont start caring about me now
11140,walk away you know how
11141,dont start caring about me now
11142,walk away you know how
11143,dont start caring about me now
11144,walk away you know how
11145,dont start
11146,anche se non ho niente da perdere
11147,anche se non cè niente da ridere
11148,no niente da ridere no
11149,anche se piove addosso e si scivola
11150,io so che vorrei essere dove sei tu
11151,tu
11152,sento solo questa stupida elettricità
11153,come voglia di scappare e andare via di qua
11154,sento solo questa stupida elettricità
11155,elettricità
11156,lo sai potrei abituarmi
11157,potrei abituarmi
11158,e senza stancarmi
11159,sei tu sai davvero guardarmi
11160,nel profondo guardarmi
11161,senza provare a cambiarmi
11162,e cè sempre qualcosa da risolvere
11163,ma ci arriverò proprio dove sei tu
11164,tu
11165,sento solo questa stupida elettricità
11166,come voglia di scappare e andare via di qua
11167,sento solo questa stupida elettricità
11168,elettricità
11169,elettricità
11170,lo sai potrei abituarmi
11171,potrei abituarmi
11172,e senza stancarmi
11173,sei tu sai davvero guardarmi
11174,nel profondo guardarmi
11175,senza provare a cambiarmi
11176,potrei abituarmi a te 
11177,sento solo questa stupida elettricità
11178,come voglia di scappare e andare via di qua
11179,sento solo questa stupida elettricità
11180,elettricità
11181,lo sai potrei abituarmi
11182,potrei abituarmi
11183,e senza stancarmi
11184,sei tu sai davvero guardarmi
11185,nel profondo guardarmi
11186,senza provare a cambiarmi
11187,3 a m and my neighbors hate me
11188,music blasting shaking these walls
11189,this time mary jane wont save me
11190,ive been working later ive been drinking stronger
11191,ive been smoking deeper but the memories wont stop
11192,i cant stop thinking bout you
11193,i cant stop thinking bout you
11194,i cant get high i cant get by i cant get through
11195,i cant stop thinking bout you
11196,like poison coursing through me
11197,so clear my vision is blurred
11198,the haze wont put my mind at ease
11199,ive been sleeping later ive been breathing stronger
11200,ive been digging deeper but the memories wont stop
11201,i cant stop thinking bout you
11202,i cant stop thinking bout you
11203,i cant get high i cant get by i cant get through
11204,i cant stop thinking bout you
11205,i cant stop thinking bout you
11206,i want you all
11207,say it before you run out of time
11208,i want you all
11209,say it before its too late
11210,i want you all
11211,say what i am feeling now
11212,i want you all
11213,waiting is insane
11214,i cant stop thinking bout you
11215,i cant stop thinking bout you
11216,i cant get high i cant get by i cant get through
11217,i cant stop thinking bout you
11218,i cant stop thinking bout you
11219,i cant get high i cant get by i cant get through
11220,i cant stop thinking bout you
11221,i cant stop thinking bout you
11222,talkin in my sleep at night makin myself crazy
11223,wrote it down and read it out hopin it would save me
11224,my love he makes me feel like nobody else nobody else
11225,but my love he doesnt love me so i tell myself i tell myself
11226,one dont pick up the phone
11227,you know hes only callin cause hes drunk and alone
11228,two dont let him in
11229,youll have to kick him out again
11230,three dont be his friend
11231,you know youre gonna wake up in his bed in the morning
11232,and if youre under him you aint gettin over him
11233,i got new rules i count em
11234,i got new rules i count em
11235,i gotta tell them to myself
11236,i got new rules i count em
11237,i keep pushin forwards but he keeps pullin me backwards
11238,now im standin back from it i finally see the pattern
11239,but my love he doesnt love me so i tell myself i tell myself
11240,i got new rules i count em
11241,i got new rules i count em
11242,i got new rules i count em
11243,i got new rules i count em
11244,i gotta tell them to myself
11245,i got new rules i count em
11246,talkin in my sleep at night makin myself crazy
11247,wrote it down and read it out hopin it would save me
11248,my love he makes me feel like nobody else nobody else
11249,but my love he doesnt love me so i tell myself i tell myself
11250,one dont pick up the phone
11251,you know hes only callin cause hes drunk and alone
11252,two dont let him in
11253,youll have to kick him out again
11254,three dont be his friend
11255,you know youre gonna wake up in his bed in the morning
11256,and if youre under him you aint gettin over him
11257,i got new rules i count em
11258,i got new rules i count em
11259,i gotta tell them to myself
11260,i got new rules i count em
11261,i got new rules i count em
11262,i got new rules i count em
11263,i got new rules i count em
11264,i got new rules i count em
11265,i got new rules i count em
11266,i gotta tell them to myself
11267,i got new rules i count em
11268,i got new rules i count em
11269,im still wandering alone
11270,tryna find a heartbeat in a home
11271,wishing we were set in stone
11272,will you wait here when i go 
11273,whats ahead no one knows
11274,when it starts to rain 
11275,when the seasons change 
11276,when you fade away 
11277,my baby 
11278,will i be the same 
11279,will i speak your name 
11280,guess its hard to say 
11281,my baby baby
11282,just living life life life 
11283,just living life life life 
11284,just living lifе life life 
11285,just living life lifе life 
11286,im still wandering alone
11287,tryna find a heartbeat in a home
11288,wishing we were set in stone
11289,will you wait here when i go 
11290,what s ahead no one knows
11291,when it starts to rain 
11292,when the seasons change 
11293,when you fade away 
11294,my baby 
11295,will i be the same 
11296,will i speak your name 
11297,guess it s hard to say 
11298,my baby baby
11299,just living life life life 
11300,just living life life life 
11301,just living life life life 
11302,just living life life life
